GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
timesheet-ci,tn.esprit.spring,TimesheetApplication,5,3,0,0,1,1,1,1,1,1
timesheet-ci,tn.esprit.spring.services,EmployeService,11,95,0,2,2,19,0,8,0,7
timesheet-ci,tn.esprit.spring.services,UserServiceImpl,99,7,2,0,19,2,6,2,5,2
timesheet-ci,tn.esprit.spring.entities,Employe,127,90,0,0,52,20,21,6,21,6
timesheet-ci,tn.esprit.spring.entities,Timesheet,31,0,0,0,13,0,9,0,9,0
timesheet-ci,tn.esprit.spring.entities,TimesheetPK,159,0,26,0,49,0,25,0,12,0
timesheet-ci,tn.esprit.spring.entities,Role,0,44,0,0,0,2,0,1,0,1
timesheet-ci,tn.esprit.spring.entities,MissionExterne,25,3,0,0,10,2,5,1,5,1
timesheet-ci,tn.esprit.spring.entities,Entreprise,51,8,0,0,19,3,10,1,10,1
timesheet-ci,tn.esprit.spring.entities,Departement,41,3,0,0,18,2,11,1,11,1
timesheet-ci,tn.esprit.spring.entities,Mission,44,3,0,0,19,2,11,1,11,1
timesheet-ci,tn.esprit.spring.entities,Contrat,47,3,0,0,20,2,11,1,11,1
timesheet-ci,tn.esprit.spring.entities,User,93,3,0,0,26,1,11,1,11,1
